Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Update Profile,,Updating Profile,2017-10-12 13:44:00,2017-10-12 13:44:04,4.015s,ERROR
,,,,,,
Test Cases/Profile/Update Profile - Iteration 1,,"Update profile, Excluding the Profile Pic",2017-10-12 13:44:01,2017-10-12 13:44:03,2.372s,ERROR
callTestCase,,,2017-10-12 13:44:03,2017-10-12 13:44:03,0.043s,PASSED
,,,,,,
Test Cases/Profile/Update Profile - Iteration 2,,"Update profile, Excluding the Profile Pic",2017-10-12 13:44:03,2017-10-12 13:44:03,0.084s,ERROR
callTestCase,,,2017-10-12 13:44:03,2017-10-12 13:44:03,0.002s,PASSED
