Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Department,Chrome 61.0.3163.100,,2017-10-11 11:39:36,2017-10-11 11:39:50,13.457s,ERROR
,,,,,,
Test Cases/User Management/Add Department/Add Department,Chrome 61.0.3163.100,,2017-10-11 11:39:37,2017-10-11 11:39:48,11.633s,ERROR
openBrowser,Chrome 61.0.3163.100,,2017-10-11 11:39:38,2017-10-11 11:39:41,3.675s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-11 11:39:41,2017-10-11 11:39:46,4.983s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 11:39:46,2017-10-11 11:39:48,2.028s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-11 11:39:48,2017-10-11 11:39:48,0.014s,PASSED
