Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Leave a Message,Chrome 61.0.3163.100,,2017-10-03 13:06:13,2017-10-03 13:07:12,59.049s,FAILED
,,,,,,
Test Cases/Login Test case,Chrome 61.0.3163.100,Login with Valid credentials,2017-10-03 13:06:15,2017-10-03 13:06:52,36.826s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-03 13:06:17,2017-10-03 13:06:34,16.938s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-03 13:06:34,2017-10-03 13:06:42,7.609s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 13:06:42,2017-10-03 13:06:46,4.213s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 13:06:46,2017-10-03 13:06:47,1.365s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 13:06:47,2017-10-03 13:06:48,0.579s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 13:06:48,2017-10-03 13:06:52,3.892s,PASSED
,,,,,,
Test Cases/Leave a Message while unscheduled Visit,Chrome 61.0.3163.100,Leaving a message while unscheduled visit in self service management module,2017-10-03 13:06:52,2017-10-03 13:07:07,15.477s,FAILED
click,Chrome 61.0.3163.100,,2017-10-03 13:06:53,2017-10-03 13:06:53,0.766s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 13:06:53,2017-10-03 13:06:54,0.697s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 13:06:54,2017-10-03 13:06:56,2.215s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 13:06:56,2017-10-03 13:07:01,4.710s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 13:07:01,2017-10-03 13:07:02,0.923s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 13:07:02,2017-10-03 13:07:03,0.951s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 13:07:03,2017-10-03 13:07:04,0.566s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 13:07:04,2017-10-03 13:07:04,0.774s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 13:07:04,2017-10-03 13:07:05,0.572s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 13:07:05,2017-10-03 13:07:06,0.979s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 13:07:06,2017-10-03 13:07:07,1.489s,FAILED
