Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User Login,Firefox 39.0,,2017-10-03 11:41:08,2017-10-03 11:41:53,44.854s,FAILED
,,,,,,
Test Cases/User Login Page/Login - Iteration 1,Firefox 39.0,,2017-10-03 11:41:09,2017-10-03 11:41:29,20.074s,PASSED
openBrowser,Firefox 39.0,,2017-10-03 11:41:10,2017-10-03 11:41:19,9.447s,PASSED
navigateToUrl,Firefox 39.0,,2017-10-03 11:41:19,2017-10-03 11:41:24,4.836s,PASSED
maximizeWindow,Firefox 39.0,,2017-10-03 11:41:24,2017-10-03 11:41:24,0.177s,PASSED
click,Firefox 39.0,,2017-10-03 11:41:24,2017-10-03 11:41:25,0.492s,PASSED
setText,Firefox 39.0,,2017-10-03 11:41:25,2017-10-03 11:41:27,1.956s,PASSED
setText,Firefox 39.0,,2017-10-03 11:41:27,2017-10-03 11:41:27,0.165s,PASSED
click,Firefox 39.0,,2017-10-03 11:41:27,2017-10-03 11:41:28,1.088s,PASSED
verifyElementPresent,Firefox 39.0,,2017-10-03 11:41:28,2017-10-03 11:41:28,0.124s,PASSED
closeBrowser,Firefox 39.0,,2017-10-03 11:41:28,2017-10-03 11:41:29,0.769s,PASSED
,,,,,,
Test Cases/User Login Page/Login - Iteration 2,Firefox 39.0,,2017-10-03 11:41:29,2017-10-03 11:41:53,23.628s,FAILED
openBrowser,Firefox 39.0,,2017-10-03 11:41:29,2017-10-03 11:41:37,7.104s,PASSED
navigateToUrl,Firefox 39.0,,2017-10-03 11:41:37,2017-10-03 11:41:41,4.469s,PASSED
maximizeWindow,Firefox 39.0,,2017-10-03 11:41:41,2017-10-03 11:41:41,0.195s,PASSED
click,Firefox 39.0,,2017-10-03 11:41:41,2017-10-03 11:41:42,0.592s,PASSED
setText,Firefox 39.0,,2017-10-03 11:41:42,2017-10-03 11:41:44,2.615s,PASSED
setText,Firefox 39.0,,2017-10-03 11:41:44,2017-10-03 11:41:45,0.171s,PASSED
click,Firefox 39.0,,2017-10-03 11:41:45,2017-10-03 11:41:47,2.050s,PASSED
verifyElementPresent,Firefox 39.0,,2017-10-03 11:41:47,2017-10-03 11:41:53,6.079s,FAILED
